Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Hunter Harvey,FourSeam,576,98.29,100.8,2078.115,16.859,-7.632,5.958,6.25,135.805,83.791,0.41,-5.112,16.67,11.81,28.48,-0.888
Hunter Harvey,Slider,132,86.578,90.2,2353.659,0.247,2.535,5.73,6.227,110.587,75.451,0.185,-2.126,12.88,10.61,23.49,-1.611
Hunter Harvey,Splitter,179,89.494,92.5,1081.391,2.455,-10.427,5.743,6.247,115.22,82.763,0.335,-4.894,11.73,13.41,25.14,-2.734
Hunter Stratton,Cutter,88,90.748,94.5,2714.25,6.986,5.756,6.03,6.459,120.623,79.744,0.356,-3.455,22.73,13.64,36.37,-3.926
Hunter Stratton,FourSeam,66,95.852,98.1,2575.652,13.425,-0.296,6.037,6.408,128.094,89.354,0.455,1.313,10.61,7.58,18.19,1.989
Ian Gibaut,Changeup,98,85.985,89.2,1924.786,5.958,-15.92,5.553,6.923,115.567,79.924,0.43,4.903,8.16,8.16,16.32,5.003
Ian Gibaut,Cutter,329,91.591,95.4,2331.31,9.878,4.113,5.744,6.857,105.971,80.443,0.351,-3.707,13.98,13.68,27.66,-1.127
Ian Gibaut,FourSeam,532,95.161,98.6,2233.818,17.24,-5.097,5.822,6.912,126.489,80.313,0.343,-7.253,18.8,12.59,31.39,-1.363
Ian Gibaut,Sweeper,252,84.192,88.3,2496.79,3.293,14.512,5.717,6.812,143.017,80.794,0.305,-4.468,11.9,12.3,24.2,-1.773
J.C. Mejía,Sinker,116,95.752,97.8,2093.095,2.304,-16.776,5.534,6.489,152.255,87.162,0.559,4.16,17.24,8.62,25.86,3.586
J.C. Mejía,Slider,92,85.255,88.2,2537.75,2.242,7.535,5.445,6.42,122.206,77.475,0.273,-1.37,21.74,13.04,34.78,-1.489
JT Chargois,FourSeam,55,95.815,97.6,2339.4,10.625,-13.08,5.219,6.298,94.316,80.514,0.48,-0.83,14.55,10.91,25.46,-1.509
JT Chargois,Sinker,356,96.258,98.3,2257.919,7.451,-18.269,5.293,6.286,135.226,87.149,0.337,-4.519,25.28,3.09,28.37,-1.269
JT Chargois,Slider,292,86.319,90.8,2619.959,1.164,3.612,5.246,6.362,124.44,77.99,0.277,-0.762,15.41,13.01,28.42,-0.261
Jack Flaherty,Changeup,59,84.892,89.4,1617.034,5.78,-11.63,5.4,6.732,91.947,72.2,0.212,-0.416,10.17,3.39,13.56,-0.705
Jack Flaherty,Curveball,373,75.661,80.3,2480.82,-8.952,14.418,5.458,6.66,122.981,77.415,0.349,-0.583,15.01,18.5,33.51,-0.156
Jack Flaherty,Cutter,189,88.653,93.9,2281.746,5.94,4.995,5.469,6.82,132.893,79.891,0.368,0.103,18.52,7.41,25.93,0.054
Jack Flaherty,FourSeam,790,92.938,96.8,2296.294,13.082,-1.821,5.443,6.831,119.557,83.346,0.38,5.199,21.14,6.84,27.98,0.658
Jack Flaherty,Slider,499,83.955,89.1,2459.79,0.893,7.48,5.371,6.788,109.898,83.538,0.387,-3.026,13.23,12.22,25.45,-0.606
Jackson Rutledge,FourSeam,157,95.782,98.1,2377.962,14.66,-12.405,6.238,6.177,82.201,86.933,0.381,0.355,14.65,8.28,22.93,0.226
Jackson Rutledge,Sinker,50,94.834,96.8,2237.52,7.428,-18.086,6.021,6.226,120.099,84.944,0.368,-0.087,24.0,8.0,32.0,-0.174
Jackson Rutledge,Slider,75,85.164,88.1,2008.533,0.83,0.878,6.151,6.205,92.075,77.82,0.247,-1.219,10.67,17.33,28.0,-1.625
Jackson Stephens,Cutter,74,89.877,93.0,2391.095,7.57,2.663,6.091,5.574,116.371,77.043,0.39,1.978,9.46,14.86,24.32,2.673
