Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Blake Snell,SF,31,3,3,0,0,11.2,18,15,12,5,2,0,3,0,0,0,11.57,1.97
Aaron Bummer,ATL,30,12,0,0,0,11.1,16,6,11,3,1,1,1,0,1,0,4.76,1.68
Matt Moore,LAA,34,12,0,0,0,11.1,9,5,10,3,2,0,0,0,0,6,3.97,1.06
Taylor Rogers,SF,33,13,0,0,0,11.1,10,5,12,3,3,0,1,0,0,2,3.97,1.15
Joey Wentz,DET,26,7,0,0,0,11.1,9,1,14,5,0,0,0,0,0,1,0.79,1.24
Adrian Morejon,SD,25,8,0,0,0,11.1,15,3,19,1,0,0,0,0,0,0,2.38,1.41
Nate Pearson,TOR,27,13,0,0,0,11.1,12,6,13,7,1,0,0,1,0,0,4.76,1.68
Kai-Wei Teng,SF,25,4,0,0,0,11.0,15,12,7,8,2,0,0,0,0,0,9.82,2.09
Anthony Molina,COL,22,6,0,0,0,11.0,18,12,4,5,2,0,0,0,0,0,9.82,2.09
Roddery Munoz,MIA,24,2,2,0,0,11.0,5,3,14,3,2,1,0,0,0,0,2.45,0.73
Joely Rodriguez,BOS,32,11,0,0,0,11.0,15,8,11,2,3,0,1,0,1,4,6.55,1.55
Nick Pivetta,BOS,31,2,2,0,0,11.0,8,1,13,1,1,1,1,0,0,0,0.82,0.82
Gabe Speier,SEA,29,13,0,0,0,11.0,6,3,15,5,1,0,1,0,1,4,2.45,1.00
Ricardo Pinto,PHI,30,6,0,0,0,10.2,19,13,8,5,2,0,0,1,0,0,10.97,2.25
Tim Hill,CWS,34,13,0,0,0,10.2,14,4,5,4,0,0,0,0,1,0,3.38,1.69
Jake Diekman,NYM,37,12,0,0,0,10.2,3,4,16,7,0,1,0,0,0,2,3.38,0.94
Steven Okert,MIN,32,12,0,0,0,10.2,11,4,15,5,1,0,0,1,2,2,3.38,1.50
Kevin Kelly,TB,26,9,0,0,0,10.2,6,4,10,1,2,1,0,0,0,2,3.38,0.66
Calvin Faucher,MIA,28,8,0,0,0,10.2,8,2,12,4,0,1,1,0,0,2,1.69,1.13
Keegan Thompson,CHC,29,7,0,0,0,10.2,8,4,14,4,1,1,0,0,0,0,3.38,1.13
Kyle Nelson,ARI,27,11,0,0,0,10.2,8,5,8,4,2,0,0,0,1,2,4.22,1.13
Cody Bolton,SEA,25,8,0,0,0,10.1,5,2,7,5,1,0,0,0,0,0,1.74,0.97
Ryne Stanek,SEA,32,12,0,0,0,10.1,12,5,11,6,1,0,0,2,0,6,4.35,1.74
Will Smith,KC,34,12,0,0,0,10.1,15,11,7,5,2,0,2,1,1,2,9.58,1.94
Lucas Sims,CIN,29,12,0,0,0,10.1,8,7,12,9,3,1,1,0,1,5,6.10,1.65
Austin Adams,OAK,32,15,0,0,0,10.1,9,2,14,5,0,0,0,0,1,8,1.74,1.35
Tyler Kinley,COL,33,12,0,0,0,10.1,20,15,10,10,4,1,0,0,0,1,13.06,2.90
Jacob Waguespack,TB,30,4,1,0,0,10.0,13,6,11,10,1,0,0,0,0,0,5.40,2.30
Ty Blach,COL,33,3,1,0,0,10.0,8,4,3,2,0,0,1,0,0,0,3.60,1.00
Aroldis Chapman,PIT,36,14,0,0,0,10.0,5,6,18,12,1,0,2,1,2,6,5.40,1.70
Tyler Matzek,ATL,33,11,0,0,0,10.0,16,11,10,3,3,0,0,0,0,2,9.90,1.90
Andre Pallante,STL,25,9,0,0,0,10.0,14,7,6,5,1,0,1,0,0,1,6.30,1.90
Mitch White,TOR,29,4,0,0,0,10.0,10,6,6,4,1,1,0,0,0,0,5.40,1.40
